"","Name","Lon","Lat","Region","VillageBadPay","RegionBadPay"
"58","AbrahaAtsbaha","39.511604","13.837765","KinteAwelo","3","4"
"59","AdiKisandid","39.61081667","13.82423333","KinteAwelo","3","3"
"60","Aynalem","39.54968333","13.75331667","KinteAwelo","2","4"
"61","Debrebrhan","39.4907","13.69226667","KinteAwelo","1","3"
"62","Genfel","39.58768333","13.78058333","KinteAwelo","3","3"
"63","HadnetK","39.56335","13.66293333","KinteAwelo","0","3"
"64","Hayelom","39.46253333","13.75925","KinteAwelo","1","4"
"65","Kihen","39.564816","13.6227","KinteAwelo","0","3"
"66","MahbereWeyni","39.55716667","13.69048333","KinteAwelo","1","3"
"67","Mesanu","39.66021667","13.7033","KinteAwelo","1","3"
"68","Nagash","39.59755","13.87613333","KinteAwelo","3","4"
"69","AdekeAla","39.236951","13.348441","Samre","1","3"
"70","AdisAlemS","39.229","13.308802","Samre","3","3"
"71","AmdiWeyane","39.2","13.3","Samre","3","3"
"72","Bamba","39.06563","13.40461","Samre","0","2"
"73","Cheli","39.1160726","13.3301609","Samre","1","4"
"74","Dekera","39.11287167","13.210427","Samre","1","3"
"75","Esiret","39.0774667","13.34305","Samre","1","4"
"76","Gijet","39.1736503","13.677862","Samre","1","2"
"77","Hintsa","39.161829","13.295328","Samre","0","3"
"78","HintsaWaza","39.177571","13.28738","Samre","2","3"
"79","LemlemArena","39.28141726","13.1531016","Samre","1","4"
"80","MayTeklia","39.242201","13.254226","Samre","3","3"
"81","MetkelLemat","39.187599","13.237814","Samre","1","3"
"82","Nebarhadinet","39.0417","13.1668","Samre","0","3"
"83","Adekiney","39.30789","14.27692","Ganta-afeshum","3","5"
"84","Simret","39.28237","14.28043","Ganta-afeshum","3","5"
"85","WuhdetG","39.2653","14.31872","Ganta-afeshum","3","5"
"86","Adibearj","38.54545","14.17552","Medebay-Zana","2","2"
"87","Deberkerbye","38.44383","13.93067","Medebay-Zana","1","1"
"88","Kuluferha","38.41515","14.18028","Medebay-Zana","2","1"
"89","Mesehle","38.42014","14.12451","Medebay-Zana","2","2"
"90","Nefasit","38.38987","14.24565","Medebay-Zana","2","1"
"91","AdiHa","39.087","13.733","KolaTembien","2","6"
"92","Atakilti","38.9","13.7","KolaTembien","2","6"
"93","AwetBikalsi","39.136","13.744","KolaTembien","2","6"
"94","Begasheka","38.92838333","13.62643333","KolaTembien","2","7"
"95","DebreGenetK","39","13.6","KolaTembien","4","8"
"96","Debrinetseb","38.78695","13.71583","KolaTembien","2","6"
"97","Endabano","38.98961667","13.7764","KolaTembien","2","6"
"98","GetskiMilesiley","39.0193","13.69018333","KolaTembien","1","7"
"99","Guroro","38.81022","13.69381","KolaTembien","1","6"
"100","Guya","38.82239","13.6175","KolaTembien","2","5"
"101","Menji","38.89091667","13.69308333","KolaTembien","2","6"
"102","Mtsaiwerki","38.78111","13.62158","KolaTembien","2","5"
"103","Santa gelebeda","39.1722","13.82936","KolaTembien","2","4"
"104","Smret","38.85106","13.6408","KolaTembien","2","7"
"105","Werkamba","38.98961667","13.7764","KolaTembien","2","6"
"106","WuhdetK","39.10903","13.8285","KolaTembien","4","6"
"107","Adisalem","38.4665","10.78602","Enesie Sar Midir","0","2"
"108","AlemeTesfa","38.43718","10.95347","Enesie Sar Midir","0","2"
"109","AwusaMeda","38.39108","10.99846","Enesie Sar Midir","0","2"
"110","Berlay","38.35053","10.93635","Enesie Sar Midir","0","1"
"111","DebrAbay","38.36968","10.81197","Enesie Sar Midir","1","1"
"112","DebreAliays","38.4553","10.91651","Enesie Sar Midir","0","2"
"113","DebreGenet","38.31261","10.91103","Enesie Sar Midir","0","1"
"114","DebreGeorgis","38.44727","10.99684","Enesie Sar Midir","0","2"
"115","DebreKidusan","38.2624","10.80685","Enesie Sar Midir","1","4"
"116","Debremawie","38.37385","10.87255","Enesie Sar Midir","0","1"
"117","DembezaAmbaLay","38.37871","10.91141","Enesie Sar Midir","0","1"
"118","Felegehiwot","38.28638","10.92708","Enesie Sar Midir","0","1"
"119","Goshedur","38.25709","10.92944","Enesie Sar Midir","0","1"
"120","HagereGenet","38.32013","10.77531","Enesie Sar Midir","0","4"
"121","HagereSelamE","38.38316","10.7633","Enesie Sar Midir","1","1"
"122","Lul","38.40667","10.70791","Enesie Sar Midir","0","2"
"123","MekaneGenet","38.33391","11.00523","Enesie Sar Midir","0","2"
"124","Melabesh","38.4583","10.83523","Enesie Sar Midir","1","2"
"125","MitinaYimach","38.3508","11.03647","Enesie Sar Midir","0","2"
"126","Selamber","38.48934","10.881","Enesie Sar Midir","0","2"
"127","WoryaMeskel","38.46225","10.74562","Enesie Sar Midir","1","2"
"128","Yetefet","38.3235","10.97067","Enesie Sar Midir","0","2"
"129","ZihonHuha","38.41444","10.8758","Enesie Sar Midir","1","1"
"130","ZobarYikuanda","38.4701","10.68773","Enesie Sar Midir","0","2"
"131","AdisAlemW","39.2","14.1","WiereLahe","2","4"
"132","Endachiwa","39.02396667","14.06666667","WiereLahe","3","3"
"133","Endagahamus","39.1","14","WiereLahe","1","2"
"134","Maekelawi","39.1","14","WiereLahe","1","2"
"135","MaekelSegli","38.9","13.9","WiereLahe","1","3"
"136","SelamW","39","14","WiereLahe","3","5"
"137","Zongi","39","14","WiereLahe","2","5"
"138","Adiselam","38.625008","13.892691","Naeder-Adet","3","2"
"139","Adreb","38.670127","13.996596","Naeder-Adet","1","1"
"140","Jira","38.37836","13.46378","Naeder-Adet","1","1"
"141","Ksadacki","38.702031","13.863646","Naeder-Adet","1","1"
"142","Seka","38.677553","13.901873","Naeder-Adet","0","1"
"143","Adishimbirkti","39.42271482","12.56255587","Ofla","2","4"
"144","Darubekeda","39.272485","12.57984333","Ofla","2","4"
"145","Dinkashena","39.221175","12.640235","Ofla","2","4"
"146","Fala","39.39463833","12.49288167","Ofla","2","5"
"147","Zata","39.29298833","12.50773","Ofla","3","4"
"148","AdisKigni","39.67775","12.42191667","RayaAzebo","3","9"
"149","Bala","39.742","12.43026667","RayaAzebo","4","9"
"150","Ebo","39.67121667","12.86883333","RayaAzebo","5","10"
"151","Geneti","39.65126667","12.79798333","RayaAzebo","5","10"
"152","HadeAlga","39.8","12.7","RayaAzebo","5","10"
"153","Hawelti","39.716","12.8383","RayaAzebo","5","10"
"154","Korme","39.73416667","12.5342","RayaAzebo","3","9"
"155","Mechare","39.811","12.76645","RayaAzebo","5","10"
"156","Tsigea","39.65126667","12.79798333","RayaAzebo","2","10"
"157","Ulaga","39.80076667","12.44273333","RayaAzebo","4","9"
"158","Adiyikoro","39.07198333","14.19138333","Ahferom","2","6"
"159","Adizata","39.08181667","14.2262","Ahferom","1","6"
"160","Betgebez","39.10301667","14.36085","Ahferom","3","4"
"161","Edagaarbi","39.25228","14.20521","Ahferom","3","5"
"162","EmbaAhfrom","39.21587","14.24734","Ahferom","1","5"
"163","Endamariam","39.16273","14.26368","Ahferom","2","4"
"164","Kudo","39.23335","14.18524","Ahferom","1","5"
"165","Laelayhahaile","39.17888","14.17428","Ahferom","2","5"
"166","LaelayMegariaTsemri","39.08091","14.27076667","Ahferom","1","6"
"167","Maysuru","39.17853333","14.2793","Ahferom","2","4"
"168","Mezbr","39.03853","14.34498","Ahferom","1","5"
"169","Sefo","39.19678","14.21603","Ahferom","3","5"
"170","Sero","39.22411667","14.32078333","Ahferom","1","4"
"171","TahtayDaeroka","39.11961667","14.21841667","Ahferom","1","6"
